date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,trailing-high-idx,date-instant,trailing-high-date,setup,signal,initial,px0,px5,px10,px20,px40,category,pl
2022-11-03 00:00:00+00:00,ABC,152.99,159.48,151.135,157.84,417258,6.586000272E7,167.19,136,-0.09602847060230879,-0.19175788025599616,1137,1001,2022-11-03T00:00Z,2022-04-21T00:00Z,true,true,true,161.64,155.0,158.92,173.99,164.29,,-0.020000000000000018
2021-09-01 00:00:00+00:00,ABT,125.72,127.41,125.47,127.4,1372318,1.7483331320000002E8,128.54,139,-0.02388361599502098,-0.1777656760541465,841,702,2021-09-01T00:00Z,2021-02-12T00:00Z,true,true,true,128.49,127.98,127.44,118.13,127.71,Stock,-0.028008405323371566
2023-12-07 00:00:00+00:00,ACM,90.59,91.99,90.51,91.5,318772,2.9167638E7,92.12,203,-0.01747720364741645,-0.19203213200173685,1411,1208,2023-12-07T00:00Z,2023-02-16T00:00Z,true,true,true,91.23,93.29,92.65,89.06,88.59,Stock,-0.004746245752493827
2019-09-06 00:00:00+00:00,ACRE,15.3,15.35,15.25,15.29,43356,662913.24,15.53,121,-0.01802962009014808,-0.13491525423728812,340,219,2019-09-06T00:00Z,2019-03-15T00:00Z,true,true,true,15.55,15.63,15.72,15.25,15.49,Stock,-0.009286173633440531
2022-07-18 00:00:00+00:00,ADC,74.99,75.19,74.2,74.73,208518,1.558255014E7,75.94,241,-0.022912825915196167,-0.18764814327100343,1060,819,2022-07-18T00:00Z,2021-08-02T00:00Z,true,true,true,76.26,77.18,78.56,80.35,74.16,Stock,0.0325596643063204
2018-06-14 00:00:00+00:00,ADM,45.6,45.78,45.12,45.24,917524,4.1508785760000005E7,45.99,299,-0.018917155903457328,-0.05740378343118069,31,0,2018-06-14T00:00Z,2018-05-01T00:00Z,true,true,true,46.03,46.0,46.19,47.57,49.87,Stock,0.08342385400825547
2022-01-03 00:00:00+00:00,ADM,67.6,68.14,67.4,67.89,908676,6.169001364E7,69.29,146,-0.02727666329917733,-0.17852503968826672,926,780,2022-01-03T00:00Z,2021-06-07T00:00Z,true,true,true,69.15,69.93,71.27,75.53,80.28,Stock,0.16095444685466376
2025-09-29 00:00:00+00:00,AEE,102.28,103.7,101.72,103.55,599508,6.20790534E7,104.0,144,-0.021923076923076934,-0.17399999999999993,1863,1719,2025-09-29T00:00Z,2025-03-04T00:00Z,true,true,true,104.38,104.88,103.56,104.81,104.79,Stock,0.00392795554703973
2018-06-27 00:00:00+00:00,AEP,69.25,69.96,68.84,69.85,1245653,8.700886205E7,69.99,299,-0.01643091870267166,-0.10401485926560927,40,0,2018-06-27T00:00Z,2018-05-01T00:00Z,true,true,true,69.34,71.13,70.38,71.04,71.36,Stock,0.029131814248629873
2025-11-13 00:00:00+00:00,AFL,114.7,115.44,114.27,115.01,1001082,1.1513444082000001E8,115.51,278,-0.010735001298588953,-0.1605055839321271,1896,1618,2025-11-13T00:00Z,2024-10-04T00:00Z,true,true,true,114.34,110.55,110.31,110.05,107.96,Stock,-0.020000000000000018
2019-11-05 00:00:00+00:00,AGO,47.56,47.91,47.53,47.71,393171,1.875818841E7,47.96,131,-0.008965804837364422,-0.16708919105784747,382,251,2019-11-05T00:00Z,2019-05-01T00:00Z,true,true,true,48.37,48.3,48.79,49.28,49.17,Stock,0.01653917717593556
2020-01-27 00:00:00+00:00,AGR,52.13,52.77,51.9,52.54,158622,8333999.88,53.46,279,-0.029180695847362603,-0.1301558203483042,437,158,2020-01-27T00:00Z,2018-12-14T00:00Z,true,true,true,53.34,53.56,52.88,56.3,37.66,,0.03438320209973744
2025-01-08 00:00:00+00:00,AGS,11.6,11.685,11.59,11.66,192078,2239629.48,11.75,149,-0.013617021276595809,-0.18675889328063233,1683,1534,2025-01-08T00:00Z,2024-06-05T00:00Z,true,true,true,11.86,11.87,11.94,12.07,12.02,,0.013490725126475533
